step_size,num_minibatches,rollout_steps,entropy_coef,auc_seed_10000,auc_seed_20000,auc_seed_30000,auc_seed_40000,auc_seed_50000,mean_auc,std_auc,min_auc,max_auc,n_seeds
3.0000000000000014e-05,72,500,0.0,-14831.727953263655,28506.787381693925,-39917.45944288029,-36718.186972536816,-15965.77402164752,-15785.272201726872,24426.53373496187,-39917.45944288029,28506.787381693925,9
9.48683298050514e-05,44,2750,0.0,-15842.699549232711,-16134.738535476723,-22704.693774987627,-13946.506515189154,-14107.239815372399,-16547.17563805172,3203.066881455877,-22704.693774987627,3203.066881455877,9
3.0000000000000014e-05,100,2750,0.0,-16797.339201873507,-15571.858577729718,-21146.328487726707,-18331.825183949604,-14592.435363865296,-17287.957363028967,2299.053189136404,-21146.328487726707,2299.053189136404,9
3.0000000000000014e-05,44,500,0.0,-15145.707843115257,-16836.840793148956,-22606.657169777023,-16053.656633169747,-18249.98918145259,-17778.570324132717,2620.183387584471,-22606.657169777023,2620.183387584471,9
9.48683298050514e-05,72,1625,0.0,-12956.618102294724,-13315.848179721781,-15437.600555492945,-14020.803549035225,-34756.90227270692,-18097.554531850317,8372.849740604752,-34756.90227270692,8372.849740604752,9
3.0000000000000014e-05,44,1625,0.0,-15674.264982380058,-15559.141207746627,-28349.09581334762,-18521.465959280475,-16196.558983931414,-18860.105389337237,4864.073169906996,-28349.09581334762,4864.073169906996,9
3.0000000000000014e-05,72,1625,0.0,-14602.61979238172,-14894.031210698757,-24818.469237865538,-20293.316619861824,-20237.91323990614,-18969.270020142794,3827.5551484333205,-24818.469237865538,3827.5551484333205,9
9.48683298050514e-05,72,2750,0.0,-20777.302177698573,-14719.96939128797,-23344.841254028925,-22575.144578760373,-20829.500873926434,-20449.351655140454,3032.5151828316043,-23344.841254028925,3032.5151828316043,9
9.48683298050514e-05,16,3875,0.0,-17318.51773121319,-18918.272851142297,-23956.76697150826,-27015.685668979026,-17859.008262715437,-21013.650297111642,3812.6825739911365,-27015.685668979026,3812.6825739911365,9
3.0000000000000014e-05,128,3875,0.0,-16402.99005694492,-22340.61753259884,-29368.67797064723,-21911.10524369113,-15098.121205499983,-21024.30240187642,5071.959380713149,-29368.67797064723,5071.959380713149,9
9.48683298050514e-05,16,500,0.0,-13930.670260272562,-12718.320877019187,-29431.470584344257,-17409.14724114338,-32491.18673239768,-21196.15913903541,8178.0258289535695,-32491.18673239768,8178.0258289535695,9
9.48683298050514e-05,72,3875,0.0,-4254.844650628174,-25753.278889828343,-30743.051201154325,-16078.576580947023,-29382.519037702292,-21242.45407205203,9920.827068235487,-30743.051201154325,9920.827068235487,9
9.48683298050514e-05,16,1625,0.0,-14083.41496648598,-14420.61451099361,-40849.05572126784,-20842.680381961763,-17230.64276987032,-21485.281670115903,9981.66105273638,-40849.05572126784,9981.66105273638,9
3.0000000000000014e-05,128,2750,0.0,-20119.581663555826,-17139.88177364945,-29459.916950243954,-22630.98659380758,-18540.35189786605,-21578.143775824574,4342.455040676035,-29459.916950243954,4342.455040676035,9
