ss,bs,tu,e,rb,ar,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
0.0001,128,500,0.1,1000000,5,,,,,,,102388.29192524131,,,,102388.29192524131,0.0,0.0,102388.29192524131,5,car-train_7000_1000000_ss_0.0001_bs_128_tu_500_e_0.1_rb_1000000_ar_5
0.0001,128,1000,0.01,2000000,7,,,,,,,213649.67298166113,,,-18368.759157614542,97640.45691202329,116009.21606963783,-18368.759157614542,213649.67298166113,6,car-train_10000_1000000_ss_0.0001_bs_128_tu_1000_e_0.01_rb_2000000_ar_7;car-train_7000_1000000_ss_0.0001_bs_128_tu_1000_e_0.01_rb_2000000_ar_7
0.0001,64,1000,0.1,1000000,7,80330.63518357778,,,,,,,,,,80330.63518357778,0.0,0.0,80330.63518357778,5,car-train_1000_1000000_ss_0.0001_bs_64_tu_1000_e_0.1_rb_1000000_ar_7
0.0001,64,1000,0.1,2000000,7,80330.63518357778,,,,,,,,,,80330.63518357778,0.0,0.0,80330.63518357778,5,car-train_1000_1000000_ss_0.0001_bs_64_tu_1000_e_0.1_rb_2000000_ar_7
0.0001,256,100,0.1,1000000,7,,,,,,68437.62223223675,,,,,68437.62223223675,0.0,0.0,68437.62223223675,5,car-train_6000_1000000_ss_0.0001_bs_256_tu_100_e_0.1_rb_1000000_ar_7
0.001,128,1000,0.01,2000000,3,,,,,,61724.09194735496,,,,,61724.09194735496,0.0,0.0,61724.09194735496,5,car-train_6000_1000000_ss_0.001_bs_128_tu_1000_e_0.01_rb_2000000_ar_3
0.0001,64,500,0.1,1000000,5,,,,,,,,,,60111.77731084138,60111.77731084138,0.0,0.0,60111.77731084138,5,car-train_10000_1000000_ss_0.0001_bs_64_tu_500_e_0.1_rb_1000000_ar_5
0.0001,256,100,0.01,2000000,7,,,,83760.61547185897,,,,,,-2732.3148184817505,40514.15032668861,43246.465145170354,-2732.3148184817505,83760.61547185897,6,car-train_10000_1000000_ss_0.0001_bs_256_tu_100_e_0.01_rb_2000000_ar_7;car-train_4000_1000000_ss_0.0001_bs_256_tu_100_e_0.01_rb_2000000_ar_7
0.0001,256,100,0.1,2000000,7,,,,,,,39810.9777543736,,,,39810.9777543736,0.0,0.0,39810.9777543736,5,car-train_7000_1000000_ss_0.0001_bs_256_tu_100_e_0.1_rb_2000000_ar_7
0.0001,64,500,0.1,2000000,5,,,36539.855099156135,,,,,,,,36539.855099156135,0.0,0.0,36539.855099156135,5,car-train_3000_1000000_ss_0.0001_bs_64_tu_500_e_0.1_rb_2000000_ar_5
